brand,fuel_efficiency_rating,fuel_rating,grip_rating,noise_rating,pattern,price,season,size,url,wet_grip_rating
continental,Fuel Efficiency D,N/A,Wet Grip B,N/A,ContiPremiumContact,132.99,Summer,205/55 R16 91V,https://www.national.co.uk,N/A
continental,Fuel Efficiency D,N/A,Wet Grip C,N/A,ContiWinterContact TS 830 P,132.99,Winter,205/55 R16 91H,https://www.national.co.uk,N/A
michelin,Fuel Efficiency C,N/A,Wet Grip A,N/A,Pilot Sport 4,133.99,Summer,205/55 R16 94Y,https://www.national.co.uk,N/A
pirelli,Fuel Efficiency B,N/A,Wet Grip B,N/A,Cinturato All Season SF 2,134.99,All Season,205/55 R16 94V,https://www.national.co.uk,N/A
continental,Fuel Efficiency D,N/A,Wet Grip C,N/A,ContiWinterContact TS 830 P,134.99,Winter,205/55 R16 91H,https://www.national.co.uk,N/A
michelin,Fuel Efficiency D,N/A,Wet Grip A,N/A,Primacy 3,135.99,Summer,205/55 R16 91H,https://www.national.co.uk,N/A
michelin,Fuel Efficiency C,N/A,Wet Grip A,N/A,Primacy 4+,135.99,Summer,205/55 R16 94H,https://www.national.co.uk,N/A
continental,Fuel Efficiency C,N/A,Wet Grip C,N/A,WinterContact TS 860 S,135.99,Winter,205/55 R16 91H,https://www.national.co.uk,N/A
bridgestone,Fuel Efficiency D,N/A,Wet Grip B,N/A,Turanza ER300,136.99,Summer,205/55 R16 91H,https://www.national.co.uk,N/A
michelin,Fuel Efficiency B,N/A,Wet Grip A,N/A,Energy Saver +,137.99,Summer,205/55 R16 94H,https://www.national.co.uk,N/A
continental,Fuel Efficiency A,N/A,Wet Grip A,N/A,Ultra Contact NXT,137.99,Summer,205/55 R16 94W,https://www.national.co.uk,N/A
michelin,Fuel Efficiency C,N/A,Wet Grip B,N/A,Michelin Alpin 7,138.99,Winter,205/55 R16 91T,https://www.national.co.uk,N/A
continental,Fuel Efficiency B,N/A,Wet Grip B,N/A,ContiEcoContact 6,138.99,Summer,205/55 R16 91W,https://www.national.co.uk,N/A
bridgestone,Fuel Efficiency A,N/A,Wet Grip A,N/A,Turanza T005,139.99,Summer,205/55 R16 94V,https://www.national.co.uk,N/A
michelin,Fuel Efficiency C,N/A,Wet Grip B,N/A,Michelin Alpin 7,140.99,Winter,205/55 R16 91H,https://www.national.co.uk,N/A
michelin,Fuel Efficiency C,N/A,Wet Grip A,N/A,Primacy 4+,141.99,Summer,205/55 R16 91H,https://www.national.co.uk,N/A
michelin,Fuel Efficiency A,N/A,Wet Grip B,N/A,Primacy 4,142.99,Summer,205/55 R16 94H,https://www.national.co.uk,N/A
michelin,Fuel Efficiency D,N/A,Wet Grip B,N/A,Alpin 5,142.99,Winter,205/55 R16 91H,https://www.national.co.uk,N/A
michelin,Fuel Efficiency D,N/A,Wet Grip A,N/A,Pilot Sport 4,142.99,Summer,205/55 R16 91W,https://www.national.co.uk,N/A
goodyear,Fuel Efficiency D,N/A,Wet Grip C,N/A,UltraGrip Performance 2,142.99,Winter,205/55 R16 91H,https://www.national.co.uk,N/A
continental,Fuel Efficiency C,N/A,Wet Grip B,N/A,WinterContact TS870,144.99,Winter,205/55 R16 94H,https://www.national.co.uk,N/A
bridgestone,Fuel Efficiency B,N/A,Wet Grip C,N/A,Ecopia EP150,146.99,Summer,205/55 R16 91V,https://www.national.co.uk,N/A
michelin,Fuel Efficiency A,N/A,Wet Grip B,N/A,Primacy 4,146.99,Summer,205/55 R16 94V,https://www.national.co.uk,N/A
bridgestone,Fuel Efficiency B,N/A,Wet Grip A,N/A,Turanza T005,147.99,Summer,205/55 R16 94W,https://www.national.co.uk,N/A
pirelli,Fuel Efficiency C,N/A,Wet Grip A,N/A,Cinturato C3,149.99,Summer,205/55 R16 94V,https://www.national.co.uk,N/A
dunlop,Fuel Efficiency D,N/A,Wet Grip C,N/A,SP Winter Sport 3D,151.99,Winter,205/55 R16 91H,https://www.national.co.uk,N/A
michelin,Fuel Efficiency C,N/A,Wet Grip B,N/A,Michelin Alpin 7,153.99,Winter,205/55 R16 94H,https://www.national.co.uk,N/A
dunlop,Fuel Efficiency C,N/A,Wet Grip B,N/A,Winter Sport 5,154.99,Winter,205/55 R16 94H,https://www.national.co.uk,N/A
bridgestone,Fuel Efficiency C,N/A,Wet Grip B,N/A,Blizzak 6,155.99,Winter,205/55 R16 91H,https://www.national.co.uk,N/A
bridgestone,Fuel Efficiency D,N/A,Wet Grip C,N/A,Blizzak LM001,156.99,Winter,205/55 R16 91H,https://www.national.co.uk,N/A
dunlop,Fuel Efficiency C,N/A,Wet Grip B,N/A,Winter Sport 5,160.99,Winter,205/55 R16 94V,https://www.national.co.uk,N/A
pirelli,Fuel Efficiency D,N/A,Wet Grip B,N/A,Winter Sottozero 3,164.99,Winter,205/55 R16 91H,https://www.national.co.uk,N/A
goodyear,Fuel Efficiency C,N/A,Wet Grip B,N/A,UltraGrip Performance 3,164.99,Winter,205/55 R16 94V,https://www.national.co.uk,N/A
goodyear,Fuel Efficiency D,N/A,Wet Grip C,N/A,UltraGrip 7 +,166.99,Winter,205/55 R16 91H,https://www.national.co.uk,N/A
continental,Fuel Efficiency C,N/A,Wet Grip B,N/A,WinterContact TS870,166.99,Winter,205/55 R16 94V,https://www.national.co.uk,N/A
michelin,Fuel Efficiency C,N/A,Wet Grip A,N/A,Primacy 4+,169.99,Summer,205/55 R16 94V,https://www.national.co.uk,N/A
bridgestone,Fuel Efficiency C,N/A,Wet Grip B,N/A,Blizzak 6,170.99,Winter,205/55 R16 94H,https://www.national.co.uk,N/A
dunlop,Fuel Efficiency C,N/A,Wet Grip B,N/A,Sport,171.99,All Season,205/55 R16 91V,https://www.national.co.uk,N/A
pirelli,Fuel Efficiency D,N/A,Wet Grip A,N/A,P Zero Rosso,172.99,Summer,205/55 R16 91Y,https://www.national.co.uk,N/A
pirelli,Fuel Efficiency C,N/A,Wet Grip C,N/A,Powergy Winter,176.99,Summer,205/55 R16 91H,https://www.national.co.uk,N/A
pirelli,Fuel Efficiency C,N/A,Wet Grip B,N/A,Cinturato Winter 2,183.99,Winter,205/55 R16 91H,https://www.national.co.uk,N/A
pirelli,Fuel Efficiency C,N/A,Wet Grip B,N/A,Cinturato Winter 2,183.99,Winter,205/55 R16 94H,https://www.national.co.uk,N/A
michelin,Fuel Efficiency E,N/A,Wet Grip B,N/A,Alpin 5,189.99,Winter,205/55 R16 91H,https://www.national.co.uk,N/A
bridgestone,Fuel Efficiency C,N/A,Wet Grip B,N/A,Blizzak 6,193.99,Winter,205/55 R16 94V,https://www.national.co.uk,N/A
continental,Fuel Efficiency C,N/A,Wet Grip B,N/A,WinterContact TS 860,196.99,Winter,205/55 R16 94V,https://www.national.co.uk,N/A
pirelli,Fuel Efficiency C,N/A,Wet Grip B,N/A,Cinturato Winter 2,203.99,Winter,205/55 R16 91H,https://www.national.co.uk,N/A
pirelli,,N/A,,N/A,Cinturato Winter 3,209.99,Winter,205/55 R16 94H,https://www.national.co.uk,N/A
pirelli,Fuel Efficiency C,N/A,Wet Grip B,N/A,Winter Sottozero 3,235.99,Winter,205/55 R16 91H,https://www.national.co.uk,N/A
avon,Fuel Efficiency D,N/A,Wet Grip A,N/A,ZV7,132.99,Summer,225/50 R16 92W,https://www.national.co.uk,N/A
goodyear,Fuel Efficiency B,N/A,Wet Grip A,N/A,EfficientGrip Performance 2,154.99,Summer,225/50 R16 92Y,https://www.national.co.uk,N/A
nankang,Fuel Efficiency D,N/A,Wet Grip C,N/A,Nankang NS-20,108.99,Summer,225/50 R16 96V,https://www.national.co.uk,N/A
hankook,Fuel Efficiency C,N/A,Wet Grip A,N/A,Ventus Prime 3 K125,159.99,Summer,225/50 R16 92W,https://www.national.co.uk,N/A
continental,Fuel Efficiency C,N/A,Wet Grip A,N/A,PremiumContact 6,156.99,Summer,225/50 R16 92Y,https://www.national.co.uk,N/A
continental,Fuel Efficiency B,N/A,Wet Grip A,N/A,UltraContact,166.99,Summer,225/50 R16 92W,https://www.national.co.uk,N/A
continental,Fuel Efficiency D,N/A,Wet Grip B,N/A,ContiPremiumContact 2,174.99,Summer,225/50 R16 92W,https://www.national.co.uk,N/A
michelin,Fuel Efficiency C,N/A,Wet Grip B,N/A,CrossClimate 2,196.99,All Season,225/50 R16 92Y,https://www.national.co.uk,N/A
michelin,Fuel Efficiency D,N/A,Wet Grip B,N/A,Pilot Exalto PE2,202.99,Summer,225/50 R16 92Y,https://www.national.co.uk,N/A
michelin,Fuel Efficiency D,N/A,Wet Grip A,N/A,Pilot Sport 4,209.99,Summer,225/50 R16 92Y,https://www.national.co.uk,N/A
michelin,Fuel Efficiency C,N/A,Wet Grip A,N/A,Primacy 4+,209.99,Summer,225/50 R16 92W,https://www.national.co.uk,N/A
pirelli,Fuel Efficiency D,N/A,Wet Grip A,N/A,P Zero Rosso,212.99,Summer,225/50 R16 92Y,https://www.national.co.uk,N/A
bridgestone,Fuel Efficiency D,N/A,Wet Grip C,N/A,Potenza RE050,221.99,Summer,225/50 R16 92W,https://www.national.co.uk,N/A
michelin,Fuel Efficiency D,N/A,Wet Grip B,N/A,Alpin 5,249.99,Winter,225/50 R16 96H,https://www.national.co.uk,N/A
continental,Fuel Efficiency D,N/A,Wet Grip C,N/A,ContiWinterContact TS 830 P,264.99,Winter,225/50 R16 92H,https://www.national.co.uk,N/A
michelin,,N/A,,N/A,Michelin Pilot Sport,402.99,Summer,225/50 R16 92Y,https://www.national.co.uk,N/A
Kumho,N/A,Fuel Efficiency / Rolling Resistance: B,N/A,"Noise Emission / Exterior Noise: 70 dBs, B rating",Ecowing ES31,68.99,N/A,205/55 R16 V (91),https://www.blackcircles.com,Wet Grip / Braking Performance: B
Goodyear,N/A,Fuel Efficiency / Rolling Resistance: B,N/A,"Noise Emission / Exterior Noise: 69 dBs, B rating",EfficientGrip Performance 2,94.99,N/A,205/55 R16 V (91),https://www.blackcircles.com,Wet Grip / Braking Performance: A
Michelin,N/A,Fuel Efficiency / Rolling Resistance: B,N/A,"Noise Emission / Exterior Noise: 72 dBs, B rating",CrossClimate 3,96.99,N/A,205/55 R16 V (94),https://www.blackcircles.com,Wet Grip / Braking Performance: B
Michelin,N/A,Fuel Efficiency / Rolling Resistance: B,N/A,"Noise Emission / Exterior Noise: 70 dBs, B rating",Primacy 5,104.99,N/A,205/55 R16 V (91),https://www.blackcircles.com,Wet Grip / Braking Performance: A
Tomket,N/A,Fuel Efficiency / Rolling Resistance: C,N/A,"Noise Emission / Exterior Noise: 69 dBs, B rating",Sport,53.89,N/A,205/55 R16 V (91),https://www.blackcircles.com,Wet Grip / Braking Performance: B
Mazzini,N/A,Fuel Efficiency / Rolling Resistance: C,N/A,"Noise Emission / Exterior Noise: 72 dBs, B rating",ECO307+,54.49,N/A,205/55 R16 W (94),https://www.blackcircles.com,Wet Grip / Braking Performance: C
Dynamo,N/A,Fuel Efficiency / Rolling Resistance: D,N/A,"Noise Emission / Exterior Noise: 71 dBs, B rating",Street-H MH01,55.44,N/A,205/55 R16 V (91),https://www.blackcircles.com,Wet Grip / Braking Performance: C
Nankang,N/A,Fuel Efficiency / Rolling Resistance: D,N/A,"Noise Emission / Exterior Noise: 71 dBs, B rating",Econex Eco-2+ Green Sport,62.99,N/A,205/55 R16 V (91),https://www.blackcircles.com,Wet Grip / Braking Performance: B
Infinity,N/A,Fuel Efficiency / Rolling Resistance: C,N/A,"Noise Emission / Exterior Noise: 71 dBs, B rating",Ecosis,64.96,N/A,205/55 R16 V (91),https://www.blackcircles.com,Wet Grip / Braking Performance: C
Toyo,N/A,Fuel Efficiency / Rolling Resistance: C,N/A,"Noise Emission / Exterior Noise: 70 dBs, B rating",Proxes Comfort,67.99,N/A,205/55 R16 V (91),https://www.blackcircles.com,Wet Grip / Braking Performance: A
Kumho,N/A,Fuel Efficiency / Rolling Resistance: B,N/A,"Noise Emission / Exterior Noise: 70 dBs, B rating",Ecowing ES31,68.99,N/A,205/55 R16 V (91),https://www.blackcircles.com,Wet Grip / Braking Performance: B
Sumitomo,N/A,Fuel Efficiency / Rolling Resistance: D,N/A,"Noise Emission / Exterior Noise: 69 dBs, B rating",BC100,78.49,N/A,205/55 R16 H (91),https://www.blackcircles.com,Wet Grip / Braking Performance: B
Yokohama,N/A,Fuel Efficiency / Rolling Resistance: C,N/A,"Noise Emission / Exterior Noise: 68 dBs, A rating",BluEarth ES32,78.99,N/A,205/55 R16 V (91),https://www.blackcircles.com,Wet Grip / Braking Performance: B
Dunlop,N/A,Fuel Efficiency / Rolling Resistance: B,N/A,"Noise Emission / Exterior Noise: 68 dBs, A rating",Sport BluResponse,82.99,N/A,205/55 R16 V (91),https://www.blackcircles.com,Wet Grip / Braking Performance: A
Hankook,N/A,Fuel Efficiency / Rolling Resistance: B,N/A,"Noise Emission / Exterior Noise: 71 dBs, B rating",Kinergy Eco 2,84.42,N/A,205/55 R16 H (91),https://www.blackcircles.com,Wet Grip / Braking Performance: B
Pirelli,N/A,Fuel Efficiency / Rolling Resistance: C,N/A,"Noise Emission / Exterior Noise: 70 dBs, B rating",P7 Cinturato,87.99,N/A,205/55 R16 V (91),https://www.blackcircles.com,Wet Grip / Braking Performance: B
Uniroyal,N/A,Fuel Efficiency / Rolling Resistance: C,N/A,"Noise Emission / Exterior Noise: 72 dBs, B rating",AllSeasonExpert 2,87.99,N/A,205/55 R16 H (91),https://www.blackcircles.com,Wet Grip / Braking Performance: B
Dunlop,N/A,Fuel Efficiency / Rolling Resistance: C,N/A,"Noise Emission / Exterior Noise: 71 dBs, B rating",All Season 2,89.99,N/A,205/55 R16 V (91),https://www.blackcircles.com,Wet Grip / Braking Performance: C
Bridgestone,N/A,Fuel Efficiency / Rolling Resistance: B,N/A,"Noise Emission / Exterior Noise: 69 dBs, B rating",Turanza 6,93.32,N/A,205/55 R16 H (91),https://www.blackcircles.com,Wet Grip / Braking Performance: A
Continental,N/A,Fuel Efficiency / Rolling Resistance: C,N/A,"Noise Emission / Exterior Noise: 71 dBs, 2 Bar",Premium Contact 5,93.76,N/A,205/55 R16 V (91),https://www.blackcircles.com,Wet Grip / Braking Performance: A
Michelin,N/A,Fuel Efficiency / Rolling Resistance: A,N/A,"Noise Emission / Exterior Noise: 69 dBs, B rating",Primacy 4 S2,94.99,N/A,205/55 R16 H (91),https://www.blackcircles.com,Wet Grip / Braking Performance: A
Goodyear,N/A,Fuel Efficiency / Rolling Resistance: B,N/A,"Noise Emission / Exterior Noise: 69 dBs, B rating",EfficientGrip Performance 2,94.99,N/A,205/55 R16 V (91),https://www.blackcircles.com,Wet Grip / Braking Performance: A
Michelin,N/A,Fuel Efficiency / Rolling Resistance: B,N/A,"Noise Emission / Exterior Noise: 72 dBs, B rating",CrossClimate 3,96.99,N/A,205/55 R16 V (94),https://www.blackcircles.com,Wet Grip / Braking Performance: B
Continental,N/A,Fuel Efficiency / Rolling Resistance: A,N/A,"Noise Emission / Exterior Noise: 71 dBs, B rating",Eco Contact 6,104.99,N/A,205/55 R16 V (91),https://www.blackcircles.com,Wet Grip / Braking Performance: B
Michelin,N/A,Fuel Efficiency / Rolling Resistance: D,N/A,"Noise Emission / Exterior Noise: 70 dBs, B rating",Pilot Sport 4,191.99,N/A,225/50 R16 Y (92),https://www.blackcircles.com,Wet Grip / Braking Performance: A
Goodyear,N/A,Fuel Efficiency / Rolling Resistance: B,N/A,"Noise Emission / Exterior Noise: 70 dBs, B rating",EfficientGrip Performance 2,149.99,N/A,225/50 R16 Y (92),https://www.blackcircles.com,Wet Grip / Braking Performance: A
Avon,N/A,Fuel Efficiency / Rolling Resistance: D,N/A,"Noise Emission / Exterior Noise: 70 dBs, B rating",ZV7,116.99,N/A,225/50 R16 W (92),https://www.blackcircles.com,Wet Grip / Braking Performance: A
Michelin,N/A,Fuel Efficiency / Rolling Resistance: D,N/A,"Noise Emission / Exterior Noise: 71 dBs, B rating",Pilot Exalto PE2,179.99,N/A,225/50 R16 Y (92),https://www.blackcircles.com,Wet Grip / Braking Performance: B
Tomket,N/A,Fuel Efficiency / Rolling Resistance: C,N/A,"Noise Emission / Exterior Noise: 69 dBs, B rating",Sport,66.86,N/A,225/50 R16 W (96),https://www.blackcircles.com,Wet Grip / Braking Performance: B
Accelera,N/A,Fuel Efficiency / Rolling Resistance: C,N/A,"Noise Emission / Exterior Noise: 70 dBs, B rating",Phi-R,69.48,N/A,225/50 R16 W (96),https://www.blackcircles.com,Wet Grip / Braking Performance: C
Dynamo,N/A,Fuel Efficiency / Rolling Resistance: D,N/A,"Noise Emission / Exterior Noise: 71 dBs, B rating",Street-H MH01,70.20,N/A,225/50 R16 V (92),https://www.blackcircles.com,Wet Grip / Braking Performance: C
Infinity,N/A,Fuel Efficiency / Rolling Resistance: C,N/A,"Noise Emission / Exterior Noise: 72 dBs, B rating",Ecomax,71.38,N/A,225/50 R16 W (96),https://www.blackcircles.com,Wet Grip / Braking Performance: B
Nankang,N/A,Fuel Efficiency / Rolling Resistance: D,N/A,"Noise Emission / Exterior Noise: 72 dBs, B rating",Sportnex NS-20,82.99,N/A,225/50 R16 V (96),https://www.blackcircles.com,Wet Grip / Braking Performance: C
Sumitomo,N/A,Fuel Efficiency / Rolling Resistance: D,N/A,"Noise Emission / Exterior Noise: 70 dBs, B rating",BC100,97.69,N/A,225/50 R16 W (96),https://www.blackcircles.com,Wet Grip / Braking Performance: B
Kumho,N/A,Fuel Efficiency / Rolling Resistance: C,N/A,"Noise Emission / Exterior Noise: 69 dBs, B rating",Ecsta HS51,105.94,N/A,225/50 R16 W (92),https://www.blackcircles.com,Wet Grip / Braking Performance: B
Avon,N/A,Fuel Efficiency / Rolling Resistance: D,N/A,"Noise Emission / Exterior Noise: 70 dBs, B rating",ZV7,116.99,N/A,225/50 R16 W (92),https://www.blackcircles.com,Wet Grip / Braking Performance: A
Falken,N/A,Fuel Efficiency / Rolling Resistance: C,N/A,"Noise Emission / Exterior Noise: 69 dBs, A rating",Ziex ZE310 Ecorun,123.50,N/A,225/50 R16 W (96),https://www.blackcircles.com,Wet Grip / Braking Performance: A
Uniroyal,N/A,Fuel Efficiency / Rolling Resistance: D,N/A,"Noise Emission / Exterior Noise: 71 dBs, B rating",RainSport 5,123.99,N/A,225/50 R16 Y (92),https://www.blackcircles.com,Wet Grip / Braking Performance: A
Hankook,N/A,Fuel Efficiency / Rolling Resistance: C,N/A,"Noise Emission / Exterior Noise: 71 dBs, B rating",Ventus Prime 3,127.25,N/A,225/50 R16 W (92),https://www.blackcircles.com,Wet Grip / Braking Performance: A
Continental,N/A,Fuel Efficiency / Rolling Resistance: C,N/A,"Noise Emission / Exterior Noise: 71 dBs, B rating",Premium Contact 6,147.99,N/A,225/50 R16 Y (92),https://www.blackcircles.com,Wet Grip / Braking Performance: A
Goodyear,N/A,Fuel Efficiency / Rolling Resistance: B,N/A,"Noise Emission / Exterior Noise: 70 dBs, B rating",EfficientGrip Performance 2,149.99,N/A,225/50 R16 Y (92),https://www.blackcircles.com,Wet Grip / Braking Performance: A
Continental,N/A,Fuel Efficiency / Rolling Resistance: B,N/A,"Noise Emission / Exterior Noise: 69 dBs, B rating",Ultra Contact,157.99,N/A,225/50 R16 W (92),https://www.blackcircles.com,Wet Grip / Braking Performance: A
Michelin,N/A,Fuel Efficiency / Rolling Resistance: C,N/A,"Noise Emission / Exterior Noise: 71 dBs, B rating",CrossClimate 2,167.99,N/A,225/50 R16 Y (92),https://www.blackcircles.com,Wet Grip / Braking Performance: B
Michelin,N/A,Fuel Efficiency / Rolling Resistance: D,N/A,"Noise Emission / Exterior Noise: 71 dBs, B rating",Pilot Exalto PE2,179.99,N/A,225/50 R16 Y (92),https://www.blackcircles.com,Wet Grip / Braking Performance: B
Michelin,N/A,Fuel Efficiency / Rolling Resistance: D,N/A,"Noise Emission / Exterior Noise: 70 dBs, B rating",Pilot Sport 4,191.99,N/A,225/50 R16 Y (92),https://www.blackcircles.com,Wet Grip / Braking Performance: A
Yokohama,N/A,Fuel Efficiency / Rolling Resistance: D,N/A,"Noise Emission / Exterior Noise: 70 dBs, B rating",Advan Neova AD08RS (Designed for Track Days),199.49,N/A,225/50 R16 V (92),https://www.blackcircles.com,Wet Grip / Braking Performance: B
Pirelli,N/A,Fuel Efficiency / Rolling Resistance: D,N/A,"Noise Emission / Exterior Noise: 71 dBs, B rating",P Zero Rosso,204.99,N/A,225/50 R16 Y (92),https://www.blackcircles.com,Wet Grip / Braking Performance: A
Bridgestone,N/A,Fuel Efficiency / Rolling Resistance: D,N/A,"Noise Emission / Exterior Noise: 71 dBs, B rating",Potenza RE050,207.44,N/A,225/50 R16 W (92),https://www.blackcircles.com,Wet Grip / Braking Performance: C
